Month     Less0   Lo30    Med40   Hi30    Lo20    Qnt2    Qnt3    Qnt4    Hi20    Lo10    Dec2    Dec3    Dec4    Dec5    Dec6    Dec7    Dec8    Dec9    Hi10
196107    4.37    2.73    3.68    3.40    1.51    4.70    3.47    3.62    3.36    0.86    2.13    5.08    3.84    4.42    2.42    3.77    3.43    3.13    3.81
196108   -4.42    2.80    2.91    1.07    3.72    1.77    2.81    2.02    0.96    4.47    3.01    1.10    3.34    2.44    3.23    2.71    1.15   -0.11    3.00
196109   -8.89   -1.29   -2.56   -0.87   -1.20   -1.79   -0.91   -1.93   -3.42   -0.55   -1.83   -1.47   -2.52   -2.56    0.92   -4.29    1.09   -4.76   -0.94
196110    1.06    2.27    3.75    2.91    2.35    2.30    4.86    2.51    4.79    2.00    2.70    2.10    2.75    4.47    5.27    3.33    1.52    6.85    1.12
196111    1.94    4.26    4.25    6.90    3.01    5.75    3.89    6.60    4.83    2.05    3.93    6.65    3.69    3.55    4.24    5.08    8.47    4.03    6.33
196112    4.04   -0.27   -0.52    3.03   -0.85   -0.02   -2.02    2.96    1.85   -1.18   -0.54    0.81   -1.98   -1.97   -2.07    2.17    3.90    2.60    0.49
196201   10.06   -5.80   -2.46   -0.09   -6.29   -4.44   -3.32   -0.56   -0.13   -5.10   -7.40   -4.92   -3.29   -3.25   -3.40   -0.98   -0.06    0.61   -1.53
196202   -2.56    1.91    2.68    1.32    1.36    2.60    2.28    2.06    2.80   -0.42    3.08    2.89    1.91    1.87    2.72    3.61    0.25    3.43    1.59
196203   -1.34   -0.46   -0.04   -0.76    0.42   -1.31    0.60   -0.33   -2.38    0.94   -0.07   -2.02    0.40    0.77    0.43   -0.97    0.45   -1.73   -3.65
196204   -9.63   -7.10   -5.46   -5.13   -8.17   -5.02   -5.69   -5.32   -5.56  -10.22   -6.23   -5.15   -4.73   -5.18   -6.23   -5.73   -4.83   -5.43   -5.83
196205  -10.21   -9.95   -7.38   -5.32  -10.53   -8.85   -8.70   -4.79   -6.66  -11.08  -10.03   -8.93   -8.65   -8.92   -8.47   -5.15   -4.36   -6.60   -6.77
196206   -7.15   -9.98   -6.99   -5.04  -10.89   -8.11   -7.05   -5.84   -5.25  -12.24   -9.68   -8.40   -7.41   -7.48   -6.59   -6.65   -4.89   -4.35   -7.04
196207    9.13    8.85    4.99    4.12    9.83    6.39    5.48    4.98    4.42   12.95    8.09    7.71    2.83    4.34    6.05    5.94    3.16    3.70    5.74
196208    5.13    2.60    2.00    2.07    2.89    1.99    2.32    1.64    2.42    3.03    2.80    2.27    1.21    1.71    2.62    2.01    0.93    2.10    3.00
