Month Less0   Lo30  Med40   Hi30   Lo20   Qnt2   Qnt3   Qnt4   Hi20   Lo10   Dec2   Dec3   Dec4   Dec5   Dec6   Dec7   Dec8   Dec9   Hi10
196107   -0.66    1.59    4.16    3.51    1.37    4.46    2.90    3.71    2.65    0.23    2.64    2.26    5.19    2.49    3.16    2.49    4.54    2.99    1.77
196108    0.84    4.28    2.43    0.60    4.65    2.37    2.77    1.49    0.74    5.23    4.01    3.14    2.13    4.04    1.95    3.06    0.44    0.29    1.90
196109   -7.24   -1.83   -2.23   -0.76   -1.62   -2.41   -2.16    0.07   -2.46   -1.98   -1.23   -2.49   -2.39   -1.48   -2.61   -1.63    1.24   -2.44   -2.52
196110    0.80    3.35    2.22    3.17    3.83    1.60    3.24    2.66    3.83    2.74    5.03    1.85    1.51    2.71    3.59    3.02    2.43    4.35    2.52
196111    5.87    3.37    5.46    4.99    2.95    5.95    4.36    6.11    2.82    2.25    3.70    4.76    6.34    4.51    4.25    4.08    7.46    3.69    0.58
196112   -0.14   -1.87    0.66    2.19   -1.40   -0.17    0.69    1.45    1.78   -1.20   -1.60   -3.36    0.87    0.75    0.65   -0.40    2.65    1.95    1.31
196201   -3.93   -5.56   -3.96    1.14   -6.28   -4.32   -3.22   -0.47    1.51   -6.04   -6.54   -3.24   -4.66   -3.90   -2.78   -2.41    0.75    1.77    0.78
196202    2.15    1.16    2.91    1.33    1.18    2.72    2.52    0.95    2.47   -0.14    2.62    1.10    3.23    2.52    2.52    2.36    0.09    3.21    0.45
196203   -2.42   -0.06   -0.84   -0.18    0.13   -1.11    0.09   -0.06   -0.98    0.42   -0.17   -0.69   -1.23    0.05    0.12   -1.30    0.71   -1.26   -0.20
196204  -10.62   -8.26   -5.22   -5.09   -8.78   -5.48   -5.62   -5.12   -4.81  -10.36   -7.09   -6.63   -5.12   -5.41   -5.76   -4.68   -5.39   -4.30   -6.23
196205  -12.92  -11.37   -7.83   -3.71  -12.31   -7.81   -8.46   -5.29   -3.44  -13.20  -11.40   -8.47   -7.60   -9.08   -8.06   -7.38   -4.01   -3.20   -4.10
196206  -11.36  -11.05   -7.37   -5.39  -12.18   -8.05   -6.41   -5.27   -5.89  -13.45  -10.90   -7.68   -8.16   -6.76   -6.19   -6.00   -4.83   -5.61   -6.69
196207   10.68    8.69    5.12    3.92    9.31    7.54    4.20    4.67    2.02   11.39    7.63    7.99    6.92    3.97    4.46    3.83    5.40    2.05    2.00
196208    7.19    1.95    2.75    1.62    2.91    2.31    2.24    2.01   -0.17    3.11    2.75    0.86    4.34    2.15    2.34    0.90    2.97    0.67   -0.68
196209   -9.71   -6.50   -3.27   -4.07   -7.29   -4.49   -3.74   -2.59   -6.31   -9.31   -5.58   -5.59   -3.01   -4.06   -3.37   -2.78   -2.44   -5.61   -6.74
196210   -4.99    0.43    0.77    0.42   -0.64    1.47    0.52    0.49    0.18   -1.27   -0.13    1.64    1.25    0.95    0.05    0.37    0.59    2.01   -0.96
